Product_ID,Category_ID,Product_name,Description,Price,Stock_quantity,F_coupon_id,Product_upload_date
1,1,有機小白菜－力新,"有機小白菜－力新
力新帶給您新鮮的有機小白菜，栽培過程中不使用農藥或化肥，確保食材的純淨。每片小白菜都緊實爽脆，含有豐富的營養素，是您健康飲食的理想選擇。選用力新的有機小白菜，讓您享受天然、美味的食材。",38,10,31,2023/5/12
2,1,有機小松菜－力新,"有機小松菜－力新
力新精選有機小松菜，以天然方式種植，不含農藥殘留。小松菜含有豐富的纖維、維生素和礦物質，有益於腸道健康，同時提供您新鮮綠意。選擇力新的有機小松菜，讓您享受營養豐富的美味。",43,2,31,2021/3/24
3,1,有機小黃瓜－古坑,"有機小黃瓜－古坑
古坑提供的有機小黃瓜，栽培過程中遵循有機種植原則，無化肥農藥殘留。小黃瓜清脆多汁，富含水分及維生素，是爽口的開胃選擇。品嚐古坑的有機小黃瓜，感受健康與美味的同時，讓您的生活更豐富多彩。",15,44,31,2022/6/15
4,1,有機山茼蒿－力新,"有機山茼蒿－力新
力新有機山茼蒿，種植過程中注重土壤品質，提供您高品質的有機蔬菜。山茼蒿富含營養，特有的香氣和口感讓人難以忘懷。力新致力於提供新鮮、無污染的有機山茼蒿，成為您餐桌上的美味佳餚。
有機山茼蒿－力新
力新有機山茼蒿，種植過程中注重土壤品質，提供您高品質的有機蔬菜。山茼蒿富含營養，特有的香氣和口感讓人難以忘懷。力新致力於提供新鮮、無污染的有機山茼蒿，成為您餐桌上的美味佳餚。
有機山茼蒿－力新
力新有機山茼蒿，種植過程中注重土壤品質，提供您高品質的有機蔬菜。山茼蒿富含營養，特有的香氣和口感讓人難以忘懷。力新致力於提供新鮮、無污染的有機山茼蒿，成為您餐桌上的美味佳餚。",36,9,31,2023/11/14
5,1,有機包心白菜(M)-力新,"有機包心白菜(M)-力新
力新有機包心白菜(M)以天然方式種植，不使用化學肥料，確保食材的純淨與新鮮。每片包心白菜葉片緊實，質地爽脆，適合涼拌或炒食。力新的有機包心白菜(M)給您帶來健康美味的享受。",43,12,31,2023/9/23
6,1,有機奶油白菜-力新,"有機奶油白菜-力新
力新有機奶油白菜，是一種口感極為嫩滑的蔬菜，含有豐富的營養成分。栽培過程中不使用農藥，確保奶油白菜的純淨與自然風味。以清脆多汁的奶油白菜豐富您的餐桌，為家人獻上健康美味。",99,15,31,2023/4/10
7,1,有機本島萵苣(A菜)-力新,"有機本島萵苣(A菜)-力新
力新精選的有機本島萵苣(A菜)，經過嚴格的有機栽培程序，保證無農藥殘留，呈現自然的原始風味。本島萵苣(A菜)葉片鮮綠豐潤，富含維生素，是製作沙拉或涼拌的理想選擇。",20,50,31,2022/9/14
8,1,有機白花椰菜－古坑,"有機白花椰菜－古坑
古坑的有機白花椰菜，通過有機種植認證，確保無農藥殘留。白花椰菜莖嫩花瓣豐滿，富含營養，適合蒸煮、炒食或製作沙拉。古坑有機白花椰菜，帶給您天然的健康滋味。",97,7,31,2023/9/4
9,1,有機白莧菜-力新,"有機白莧菜-力新
力新有機白莧菜，栽培過程中嚴格把關，不使用化學農藥，確保蔬菜的純淨與安全。白莧菜葉片翠綠多汁，富含膳食纖維及維生素，是製作各式料理的理想食材。",72,19,31,2023/1/4
10,1,有機白蘿蔔－古坑,"有機白蘿蔔－古坑
古坑有機白蘿蔔以自然栽培方式培植，確保蘿蔔的品質純淨。白蘿蔔質地爽脆，味道清甜，適合生食、涼拌或烹煮，為您的料理增添新鮮風味。",21,13,31,2022/3/24
11,1,有機地瓜葉－力新,"有機地瓜葉－力新
力新有機地瓜葉以純天然方式種植，不使用農藥或化肥，確保食材的純淨。地瓜葉富含維生素A、C和鈣質，是營養豐富的綠色蔬菜。其嫩綠葉片適合用來烹調湯品、炒菜或製作沙拉，為您的餐桌增添自然風味。",63,14,31,2023/10/31
12,1,有機油菜－力新,"有機油菜－力新
力新有機油菜遵循有機栽培原則，不含農藥殘留，確保食材的安全與高品質。油菜的嫩葉清脆，富含維生素K和膳食纖維，是健康飲食的理想選擇。選擇力新的有機油菜，品味天然風味，享受美味生活。",22,17,31,2021/10/13
13,1,有機空心菜－力新,"有機空心菜－力新
力新有機空心菜採用天然種植方式，不使用農藥，確保綠色蔬菜的新鮮和純淨。空心菜質地脆嫩，富含維生素C和鐵質，適合涼拌、快炒或湯品，為您提供豐富的營養。",11,7,31,2022/8/1
14,1,有機芥藍菜－力新,"有機芥藍菜－力新
力新的有機芥藍菜以環保、有機的方式種植，經過嚴格的品質管理，確保食材的純淨和安全。芥藍菜的翠綠葉片帶有濃郁的芥香，富含維生素、礦物質和膳食纖維，是增添風味和營養的絕佳選擇。",23,27,31,2021/10/14
15,1,有機青江菜－力新,"有機青江菜－力新
力新有機青江菜是一種優質的有機蔬菜，栽培過程中不使用農藥，確保無農藥殘留。青江菜嫩葉爽口，富含營養素，特有的香氣和清甜味道，適合快炒或涼拌，提供您天然、健康的飲食選擇。",41,18,31,2021/7/14
16,1,有機青椒－力新,"有機青椒－力新
力新有機青椒是清新爽口的有機蔬菜，種植過程中不使用化肥農藥，確保食材的純淨和健康。青椒富含維生素C和抗氧化物質，是炒菜、燉湯或沙拉的理想選擇。選擇力新的有機青椒，為您帶來新鮮風味。",12,11,31,2022/5/29
17,1,有機青蔥－力新,"有機青蔥－力新
力新有機青蔥以天然方式種植，不含化肥農藥，保留青蔥的原汁原味。青蔥富含維生素K和抗氧化物質，是各式料理的調味佳品。選擇力新的有機青蔥，為您的家庭烹飪增添新鮮風味。",34,9,31,2023/12/27
18,1,有機原木香菇,"有機原木香菇
有機原木香菇是一種天然、營養豐富的食材，採用有機栽培方法，不含任何人工添加物。原木香菇肉質鮮嫩，口感豐富，含有多種維生素和礦物質，是素食者的理想選擇。在烹飪中，原木香菇可用於炒、燉、湯品等多種料理，為您帶來美味和營養。",7,14,31,2021/10/28
19,1,有機高冷高麗菜2XS-力新,"
有機高冷高麗菜2XS-力新
力新有機高冷高麗菜2XS是一種小巧精緻的有機蔬菜，不含農藥殘留，確保食材的安全。高冷高麗菜2XS細嫩爽脆，富含維生素C和膳食纖維，適合涼拌、生食或烹煮，為您的餐桌增添營養色彩。",69,26,31,2022/9/28
20,1,有機高麗菜(小)－古坑,"有機高麗菜(小)－古坑
古坑提供的有機高麗菜(小)是經過嚴格有機種植認證的新鮮蔬菜。這種小巧的高麗菜葉片緊實，質地爽脆，適合生食或用來製作涼拌菜。以有機的方式種植，保證食材的純淨與健康，為您的料理增色不少。",62,22,31,2021/7/22
21,1,有機敏豆(四季豆)－古坑,"有機敏豆(四季豆)－古坑
古坑的有機敏豆(四季豆)是經過有機認證的高品質蔬菜，栽培過程中不使用農藥，確保食材的安全。敏豆的嫩莢爽脆，富含纖維和維生素，是營養均衡飲食的佳選。以古坑的有機敏豆，為您的餐桌增添清新的味道。",92,3,31,2021/6/1
22,1,有機荷葉白菜－力新,"有機荷葉白菜－力新
力新的有機荷葉白菜以天然方式栽培，不含農藥和化肥，確保蔬菜的純淨和新鮮。荷葉白菜葉片軟嫩多汁，含有豐富的營養成分，適合涼拌或炒食。選擇力新的有機荷葉白菜，讓您的餐桌充滿自然風味。",97,22,31,2022/11/8
23,1,有機菠菜－力新,"有機菠菜－力新
力新有機菠菜是經過嚴格的有機種植程序，不使用農藥或化肥，確保蔬菜的品質和新鮮度。菠菜富含維生素、礦物質和抗氧化物質，是促進健康的理想食材。力新的有機菠菜，為您的餐桌增添營養的同時，帶來美味的享受。",76,50,31,2023/8/25
24,1,有機黃金甘藷S-力新,"有機黃金甘藷S-力新
力新有機黃金甘藷S是一種天然、健康的根莖類蔬菜，栽培過程中不使用農藥，確保食材的安全與高品質。黃金甘藷S的質地細緻，味道香甜，富含維生素A、膳食纖維和礦物質，是製作各種料理的絕佳食材。",32,2,31,2021/7/26
25,1,有機黑葉白菜－古坑,"有機黑葉白菜－古坑
古坑的有機黑葉白菜通過有機認證，是一種天然、營養豐富的蔬菜。黑葉白菜葉片翠綠多汁，富含維生素C和膳食纖維，適合涼拌、快炒或湯品，為您的餐桌帶來多樣化的美味選擇。",54,24,31,2022/12/26
26,1,有機龍鬚菜-力新,"有機龍鬚菜-力新
力新有機龍鬚菜是一種經過有機栽培的特殊蔬菜，種植過程中不使用農藥，確保蔬菜的原始風味。龍鬚菜的形狀獨特，質地爽口，含有豐富的營養素，適合用來製作涼拌或快炒，為您帶來美味和視覺的享受。",19,21,31,2023/6/9
27,8,超大份量業務包 1.05Kg冷凍白蝦40_50 _3盒組,"超大份量業務包 1.05Kg冷凍白蝦40_50 _3盒組
這款超大份量業務包冷凍白蝦40-50，以每盒1.05公斤的份量呈現，總計3盒組。白蝦肉質鮮嫩，味道鮮甜，是豐盛海鮮餐的理想選擇。適用於多種烹飪方式，如燙、炸、炒等，讓您輕鬆在家享受高品質的白蝦美味。",428,34,31,2022/10/10
28,8,超大份量業務包 1.05Kg冷凍白蝦40_50 _6盒組,"超大份量業務包 1.05Kg冷凍白蝦40_50 _6盒組
這款超大份量業務包冷凍白蝦40-50，以每盒1.05公斤的份量呈現，總計3盒組。白蝦肉質鮮嫩，味道鮮甜，是豐盛海鮮餐的理想選擇。適用於多種烹飪方式，如燙、炸、炒等，讓您輕鬆在家享受高品質的白蝦美味。",228,33,31,2022/2/23
29,8,下殺 嚴選 Vanonis 南美白蝦  30_40 -500 g_盒 x2,"下殺 嚴選 Vanonis 南美白蝦 30_40 -500 g_盒 x2
Vanonis 南美白蝦以其鮮美口感和優越品質而聞名。這款30-40隻的白蝦每盒約重500克，適中的大小方便您在烹飪時靈活運用。新鮮的南美白蝦擁有豐富的蛋白質和低脂肪，通過多種烹飪方式展現其香濃的海鮮風味。此特價優惠包含2盒，為您的餐桌增添美味選擇。",330,47,31,2023/9/4
30,8,巨無霸白晶蝦 500G(特大)  約10~15隻_盒x3,"巨無霸白晶蝦 500G(特大) 約1015隻_盒x3
這款巨無霸白晶蝦以特大的約1015隻每盒，總計3盒組。每隻蝦的肉質飽滿，肉厚彈牙，呈現極致的新鮮口感。適合用來清蒸、油炸或炒食，滿足您對白蝦的美味渴望。高品質的白晶蝦是宴席或聚餐的理想選擇，讓您的用餐體驗更上一層樓。",195,4,31,2023/6/26
31,8,美洲白晶蝦500G(大)  約15-20隻_盒 x3,"美洲白晶蝦500G(大) 約15-20隻_盒 x3
美洲白晶蝦以大盛的15-20隻每盒，總計3盒組，滿足您對美味白蝦的需求。每隻蝦的大小適中，適合各種烹飪方式。蝦肉鮮嫩多汁，口感豐富，是海鮮愛好者的首選。這款優惠組合讓您在享受美味的同時，擁有更多份量。",500,42,31,2023/12/4
32,8,超大2630鮮甜熟白蝦-1盒組(900g_盒_約23隻),"超大2630鮮甜熟白蝦-1盒組(900g_盒_約23隻)
這款超大2630鮮甜熟白蝦組合包含1盒，每盒淨重約900克，約23隻。蝦肉豐滿鮮嫩，肉質緊實，是品質保證的海鮮選擇。經過冷凍保存的白蝦保持了其原汁原味，是製作海鮮料理、涼拌或火鍋的理想之選。",700,36,31,2022/6/18
